ROUTE,YEAR,MONTH,DAY_TYPE,AVG_RIDES
52A,2024,11,Sunday - Holiday,1301
53,2024,11,Weekday,14016
53,2024,11,Saturday,9372
53,2024,11,Sunday - Holiday,6618
53A,2024,11,Weekday,5529
53A,2024,11,Saturday,2827
53A,2024,11,Sunday - Holiday,1847
54,2024,11,Weekday,7523
54,2024,11,Saturday,5445
54,2024,11,Sunday - Holiday,4650
54A,2024,11,Weekday,551
54B,2024,11,Weekday,2036
54B,2024,11,Saturday,1822
54B,2024,11,Sunday - Holiday,1230
55,2024,11,Weekday,6828
55,2024,11,Saturday,4882
55,2024,11,Sunday - Holiday,4216
55A,2024,11,Weekday,141
55N,2024,11,Weekday,404
55N,2024,11,Saturday,213
56,2024,11,Weekday,5030
56,2024,11,Saturday,3546
56,2024,11,Sunday - Holiday,2454
57,2024,11,Weekday,1451
57,2024,11,Saturday,683
57,2024,11,Sunday - Holiday,375
59,2024,11,Weekday,2496
59,2024,11,Saturday,1329
6,2024,11,Weekday,5266
6,2024,11,Saturday,6004
6,2024,11,Sunday - Holiday,4585
60,2024,11,Weekday,9884
60,2024,11,Saturday,5282
60,2024,11,Sunday - Holiday,3996
62,2024,11,Weekday,7439
62,2024,11,Saturday,5334
62,2024,11,Sunday - Holiday,3896
62H,2024,11,Weekday,699
62H,2024,11,Saturday,400
63,2024,11,Weekday,10392
63,2024,11,Saturday,7030
63,2024,11,Sunday - Holiday,5708
63W,2024,11,Weekday,1191
63W,2024,11,Saturday,594
63W,2024,11,Sunday - Holiday,418
65,2024,11,Weekday,6101
65,2024,11,Saturday,4459
65,2024,11,Sunday - Holiday,2914
66,2024,11,Weekday,17046
66,2024,11,Saturday,12601
66,2024,11,Sunday - Holiday,8909
67,2024,11,Weekday,5799
67,2024,11,Saturday,4130
67,2024,11,Sunday - Holiday,3212
68,2024,11,Weekday,853
68,2024,11,Saturday,411
68,2024,11,Sunday - Holiday,271
7,2024,11,Weekday,4600
70,2024,11,Weekday,6611
70,2024,11,Saturday,4323
70,2024,11,Sunday - Holiday,3133
71,2024,11,Weekday,6074
71,2024,11,Saturday,4706
71,2024,11,Sunday - Holiday,3633
72,2024,11,Weekday,10317
72,2024,11,Saturday,8365
72,2024,11,Sunday - Holiday,5764
73,2024,11,Weekday,4068
73,2024,11,Saturday,2413
73,2024,11,Sunday - Holiday,1562
74,2024,11,Weekday,9036
74,2024,11,Saturday,6820
74,2024,11,Sunday - Holiday,4601
75,2024,11,Weekday,4758
75,2024,11,Saturday,3026
75,2024,11,Sunday - Holiday,2354
76,2024,11,Weekday,8101
76,2024,11,Saturday,5591
76,2024,11,Sunday - Holiday,3443
77,2024,11,Weekday,13663
77,2024,11,Saturday,9611
77,2024,11,Sunday - Holiday,6791
78,2024,11,Weekday,5667
78,2024,11,Saturday,3615
78,2024,11,Sunday - Holiday,2539
79,2024,11,Weekday,15349
79,2024,11,Saturday,11554
79,2024,11,Sunday - Holiday,9382
8,2024,11,Weekday,16547
8,2024,11,Saturday,11047
8,2024,11,Sunday - Holiday,7097
80,2024,11,Weekday,7290
80,2024,11,Saturday,4968
80,2024,11,Sunday - Holiday,3823
81,2024,11,Weekday,8714
81,2024,11,Saturday,6614
81,2024,11,Sunday - Holiday,5152
81W,2024,11,Weekday,1431
81W,2024,11,Saturday,691
81W,2024,11,Sunday - Holiday,491
82,2024,11,Weekday,12313
82,2024,11,Saturday,7825
82,2024,11,Sunday - Holiday,5318
84,2024,11,Weekday,2685
84,2024,11,Saturday,1343
84,2024,11,Sunday - Holiday,888
85,2024,11,Weekday,7238
85,2024,11,Saturday,4735
85,2024,11,Sunday - Holiday,3692
85A,2024,11,Weekday,615
85A,2024,11,Saturday,305
86,2024,11,Weekday,1700
87,2024,11,Weekday,6656
87,2024,11,Saturday,4736
87,2024,11,Sunday - Holiday,3464
88,2024,11,Weekday,867
88,2024,11,Saturday,342
88,2024,11,Sunday - Holiday,245
8A,2024,11,Weekday,1906
8A,2024,11,Saturday,1388
8A,2024,11,Sunday - Holiday,1128
9,2024,11,Weekday,15724
9,2024,11,Saturday,14806
9,2024,11,Sunday - Holiday,11148
90,2024,11,Weekday,3394
90,2024,11,Saturday,2601
90,2024,11,Sunday - Holiday,1623
91,2024,11,Weekday,4059
91,2024,11,Saturday,2318
91,2024,11,Sunday - Holiday,1667
92,2024,11,Weekday,4972
92,2024,11,Saturday,2723
92,2024,11,Sunday - Holiday,2493
93,2024,11,Weekday,3082
93,2024,11,Saturday,1549
94,2024,11,Weekday,8874
94,2024,11,Saturday,5029
94,2024,11,Sunday - Holiday,3531
95,2024,11,Weekday,4590
95,2024,11,Saturday,2825
95,2024,11,Sunday - Holiday,2965
